JobID,State,Elapsed,TotalCPU,AllocCPUS,MaxRSS,ReqMem
7596142_744|FAILED|00:00:04|00:00.011|1||2G
7596142_744.batch|FAILED|00:00:04|00:00.010|1|1444K|
7596142_744.extern|COMPLETED|00:00:05|00:00.001|1|288K|
