JobID,State,Elapsed,TotalCPU,AllocCPUS,MaxRSS,ReqMem
7609641_189|COMPLETED|2-18:47:37|2-18:30:20|1||2G
7609641_189.batch|COMPLETED|2-18:47:37|2-18:30:20|1|187492K|
7609641_189.extern|COMPLETED|2-18:47:37|00:00.001|1|284K|
